job_id,method,alteration,angle_degrees,metric,metric_label,direction,value,solver_evidence_disposition
sparsity_0.5__spateo__angle_45,spateo,sparsity_0.5,45.0,rotation_recovery_error,Rotation recovery error (deg),lower_is_better,0.002606802387560947,fixed_schedule_complete_no_convergence_claim
sparsity_0.5__paste__angle_1,paste,sparsity_0.5,1.0,ge_correlation_exact_gene_join,GE correlation,higher_is_better,0.9870099365603555,positive_convergence_evidence
sparsity_0.5__paste__angle_5,paste,sparsity_0.5,5.0,ge_correlation_exact_gene_join,GE correlation,higher_is_better,0.9870099365603555,positive_convergence_evidence
sparsity_0.5__paste__angle_10,paste,sparsity_0.5,10.0,ge_correlation_exact_gene_join,GE correlation,higher_is_better,0.9870099365603555,positive_convergence_evidence
sparsity_0.5__paste__angle_30,paste,sparsity_0.5,30.0,ge_correlation_exact_gene_join,GE correlation,higher_is_better,0.9870099365603555,positive_convergence_evidence
sparsity_0.5__paste__angle_45,paste,sparsity_0.5,45.0,ge_correlation_exact_gene_join,GE correlation,higher_is_better,0.9870099365603555,positive_convergence_evidence
sparsity_0.5__spateo__angle_1,spateo,sparsity_0.5,1.0,ge_correlation_exact_gene_join,GE correlation,higher_is_better,0.9870099365603555,fixed_schedule_complete_no_convergence_claim
sparsity_0.5__spateo__angle_5,spateo,sparsity_0.5,5.0,ge_correlation_exact_gene_join,GE correlation,higher_is_better,0.9870099365603555,fixed_schedule_complete_no_convergence_claim
sparsity_0.5__spateo__angle_10,spateo,sparsity_0.5,10.0,ge_correlation_exact_gene_join,GE correlation,higher_is_better,0.9870099365603555,fixed_schedule_complete_no_convergence_claim
sparsity_0.5__spateo__angle_30,spateo,sparsity_0.5,30.0,ge_correlation_exact_gene_join,GE correlation,higher_is_better,0.9870099365603555,fixed_schedule_complete_no_convergence_claim
sparsity_0.5__spateo__angle_45,spateo,sparsity_0.5,45.0,ge_correlation_exact_gene_join,GE correlation,higher_is_better,0.9870099365603555,fixed_schedule_complete_no_convergence_claim
