configuration_id,density_name,gap,target_index,target_slice,target_z,seed,n_obs,n_genes,mean_per_gene_spot_pearson,median_per_gene_spot_pearson,gene_mean_pearson,log1p_gene_mean_pearson,gene_variance_pearson,gene_zero_fraction_pearson,library_size_pearson,relative_error_gene_mean,zero_pattern_jaccard,donor_supported
study06-allen-abca1-conditional-stack-v5,medium_gap5,5,7,41,3.294805636610366,52033,12473,1122,0.1597168131176909,0.1013176028636373,0.976002715439883,0.96278588460111,0.9896278309466084,0.9646910059726164,0.4511765937526465,0.3324090962366438,0.8716895576630137,True
study06-allen-abca1-conditional-stack-v5,medium_gap5,5,8,46,3.7842382240187393,52034,21795,1122,0.1928096416874285,0.1473108350953099,0.9751477605775304,0.9823414830870196,0.9649912365506396,0.9849235484355758,0.3700453542862257,0.2770877307907511,0.8625781335988416,True
study06-allen-abca1-conditional-stack-v5,medium_gap5,5,9,51,4.276677295245734,52035,21184,1122,0.1791550444538263,0.1347355273968156,0.949333580275454,0.9638827697700272,0.9526648191938852,0.9632821093449038,0.3515395721826357,0.3646723487484091,0.8764556242132516,True
study06-allen-abca1-conditional-stack-v5,medium_gap5,5,10,56,4.791846418988289,52036,22963,1122,0.1931146692283291,0.1585067063313643,0.98344226487635,0.9862604594819678,0.9727790083279412,0.9867000529882298,0.3272243695554637,0.2318551614534802,0.8616228925518673,False
study06-allen-abca1-conditional-stack-v5,medium_gap5,5,11,61,5.302221068661704,52037,27215,1122,0.1872234163854032,0.1449702140012903,0.9332180194094885,0.9502280015140904,0.889384203609006,0.952254373417156,0.3552882369303993,0.3348583751287518,0.8738151459456729,False
study06-allen-abca1-conditional-stack-v5,medium_gap5,5,12,66,5.752391808790593,52038,26940,1122,0.2055591984708756,0.1842746743090107,0.9750390288653508,0.9801845590720334,0.9658209997933512,0.983581709977918,0.331235483498865,0.2454916412009182,0.8649590560434735,True
study06-allen-abca1-conditional-stack-v5,medium_gap5,5,13,71,6.104251618282508,52039,26292,1122,0.1418085203389458,0.0814247535789781,0.942261006606792,0.9394680300247948,0.972092827257039,0.9509386721980082,0.4119661028426595,0.4513822966915083,0.9103323741251602,False
study06-allen-abca1-conditional-stack-v5,medium_gap5,5,14,76,6.418447464831936,52040,27848,1122,0.1964485840989129,0.1623014456934642,0.8796784457570217,0.9022610029769702,0.8110984022204272,0.9181640139709364,0.3616742660370194,0.7708367275321741,0.8720251440257843,True
study06-allen-abca1-conditional-stack-v5,medium_gap5,5,15,81,6.881643083604378,52041,30439,1122,0.1801363914969564,0.1281948807363618,0.919657848313709,0.9304094920654156,0.9046281643299864,0.9492497599103276,0.4211943755302139,0.5274985840153643,0.896559356568649,True
study06-allen-abca1-conditional-stack-v5,medium_gap5,5,16,86,7.463723138174608,52042,30109,1122,0.1678455993236645,0.1267815911416746,0.8808008845477528,0.8964788985486144,0.8573600007491216,0.912326137563504,0.3607650632500703,0.8211817697820103,0.8757255083635028,True
study06-allen-abca1-conditional-stack-v5,medium_gap5,5,17,91,8.008105978096916,52043,26059,1122,0.1738440173249116,0.1328988028717226,0.9683094162887876,0.9651979705024288,0.9788935374037367,0.9675419459128576,0.3943459886057681,1.04128009530839,0.8974365439841229,True
study06-allen-abca1-conditional-stack-v5,medium_gap5,5,18,96,8.469022199413168,52044,28442,1122,0.1956052870013798,0.1626768736123536,0.9562720277794206,0.961895551866854,0.9443977554261858,0.9626872973614444,0.3603209093505797,0.3602099249661841,0.8662906130512473,False
study06-allen-abca1-conditional-stack-v5,medium_gap5,5,19,101,8.854363135565341,52045,25528,1122,0.164799289961082,0.1210754848533026,0.9654165633241109,0.97240572897218,0.9492602627316448,0.9755682360864664,0.3981657093257736,0.5926511100916135,0.896482639190938,True
study06-allen-abca1-conditional-stack-v5,medium_gap5,5,20,106,9.307552976701205,52046,27169,1122,0.1878490579993859,0.1533098829426906,0.9786689716159488,0.9798207216283198,0.980074447959226,0.98164837645209,0.3582690210371713,0.2110136664172315,0.8582653063467008,False
study06-allen-abca1-conditional-stack-v5,medium_gap5,5,21,111,9.847676327766404,52047,20936,1122,0.1465263159211561,0.0985900322871669,0.9661368924951328,0.9698001105077868,0.9463325607891506,0.9742468579673308,0.4454538520171884,0.5420017507046044,0.907189350232422,False
