mode,alpha,alpha_stratum,support_variant,metric,metric_label,pca20_value,pca10_value,pca10_minus_pca20,supplementary_sensitivity_only,winner_ranking_authorized
shift_only,0.5,interpolation,all_spots_primary,domain_asw,Domain ASW,0.0293782259928,0.0685393940817,0.0391611680889,True,False
shift_only,0.5,interpolation,all_spots_primary,domain_purity_k30,Domain purity (k=30),0.675168466722,0.725990030462,0.0508215637404,True,False
shift_only,0.5,interpolation,all_spots_primary,centroid_distance,Centroid distance,1.08381349903,1.07118204737,-0.0126314516626,True,False
shift_only,0.5,interpolation,all_spots_primary,covariance_distance,Covariance distance,0.0874935097452,0.148010075877,0.060516566132,True,False
shift_only,0.5,interpolation,all_spots_primary,mmd2_rbf_biased,Biased RBF MMD²,0.0213540305721,0.0401907490159,0.0188367184438,True,False
shift_only,0.5,interpolation,all_spots_primary,paired_expression_correlation,Paired expression correlation,NA,NA,NA,True,False
shift_only,0.75,interpolation,all_spots_primary,batch_asw,Batch ASW,0.0254712499223,0.0463128405774,0.0208415906552,True,False
shift_only,0.75,interpolation,all_spots_primary,batch_mixing_entropy_k30,Batch mixing entropy (k=30),0.681430980152,0.605587696184,-0.0758432839677,True,False
shift_only,0.75,interpolation,all_spots_primary,paired_retrieval_top1,Paired retrieval top-1,0.384657989477,0.117418997508,-0.267238991969,True,False
shift_only,0.75,interpolation,all_spots_primary,paired_retrieval_median_rank,Paired retrieval median rank,4,42,38,True,False
shift_only,0.75,interpolation,all_spots_primary,domain_asw,Domain ASW,0.0292843610283,0.0578045881615,0.0285202271332,True,False
shift_only,0.75,interpolation,all_spots_primary,domain_purity_k30,Domain purity (k=30),0.667354380135,0.712360380319,0.0450060001846,True,False
shift_only,0.75,interpolation,all_spots_primary,centroid_distance,Centroid distance,1.31894636665,1.29544800465,-0.0234983619992,True,False
shift_only,0.75,interpolation,all_spots_primary,covariance_distance,Covariance distance,0.122009109228,0.2082844127,0.0862753034715,True,False
shift_only,0.75,interpolation,all_spots_primary,mmd2_rbf_biased,Biased RBF MMD²,0.0310835172168,0.0579548249642,0.0268713077474,True,False
shift_only,0.75,interpolation,all_spots_primary,paired_expression_correlation,Paired expression correlation,NA,NA,NA,True,False
shift_only,1,interpolation,all_spots_primary,batch_asw,Batch ASW,0.0332886597613,0.0603169098341,0.0270282500728,True,False
shift_only,1,interpolation,all_spots_primary,batch_mixing_entropy_k30,Batch mixing entropy (k=30),0.548461037353,0.42389421549,-0.124566821863,True,False
shift_only,1,interpolation,all_spots_primary,paired_retrieval_top1,Paired retrieval top-1,0.232068679036,0.039601218499,-0.192467460537,True,False
shift_only,1,interpolation,all_spots_primary,paired_retrieval_median_rank,Paired retrieval median rank,18,109,91,True,False
shift_only,1,interpolation,all_spots_primary,domain_asw,Domain ASW,0.0262818032794,0.0507900408506,0.0245082375712,True,False
shift_only,1,interpolation,all_spots_primary,domain_purity_k30,Domain purity (k=30),0.663066555894,0.701855441706,0.0387888858119,True,False
shift_only,1,interpolation,all_spots_primary,centroid_distance,Centroid distance,1.49269063125,1.44891421499,-0.0437764162627,True,False
shift_only,1,interpolation,all_spots_primary,covariance_distance,Covariance distance,0.14828384622,0.261453582267,0.113169736047,True,False
shift_only,1,interpolation,all_spots_primary,mmd2_rbf_biased,Biased RBF MMD²,0.0396479589651,0.0731390606437,0.0334911016786,True,False
shift_only,1,interpolation,all_spots_primary,paired_expression_correlation,Paired expression correlation,NA,NA,NA,True,False
shift_only,1.25,extrapolation,all_spots_primary,batch_asw,Batch ASW,0.0415397377761,0.0776791846131,0.036139446837,True,False
shift_only,1.25,extrapolation,all_spots_primary,batch_mixing_entropy_k30,Batch mixing entropy (k=30),0.437659043859,0.250346354539,-0.187312689319,True,False
shift_only,1.25,extrapolation,all_spots_primary,paired_retrieval_top1,Paired retrieval top-1,0.140404320133,0.0171697590695,-0.123234561063,True,False
shift_only,1.25,extrapolation,all_spots_primary,paired_retrieval_median_rank,Paired retrieval median rank,43,192,149,True,False
shift_only,1.25,extrapolation,all_spots_primary,domain_asw,Domain ASW,0.0282969968569,0.041631146009,0.013334149152,True,False
shift_only,1.25,extrapolation,all_spots_primary,domain_purity_k30,Domain purity (k=30),0.659692605926,0.688738115019,0.0290455090926,True,False
shift_only,1.25,extrapolation,all_spots_primary,centroid_distance,Centroid distance,1.64197711829,1.61769200799,-0.0242851103018,True,False
shift_only,1.25,extrapolation,all_spots_primary,covariance_distance,Covariance distance,0.16764319783,0.292215076046,0.124571878215,True,False
shift_only,1.25,extrapolation,all_spots_primary,mmd2_rbf_biased,Biased RBF MMD²,0.0494321976476,0.093871241551,0.0444390439034,True,False
shift_only,1.25,extrapolation,all_spots_primary,paired_expression_correlation,Paired expression correlation,NA,NA,NA,True,False
shift_only,1.5,extrapolation,all_spots_primary,batch_asw,Batch ASW,0.049222716944,0.0891399198987,0.0399172029547,True,False
shift_only,1.5,extrapolation,all_spots_primary,batch_mixing_entropy_k30,Batch mixing entropy (k=30),0.358165458007,0.173360707025,-0.184804750982,True,False
shift_only,1.5,extrapolation,all_spots_primary,paired_retrieval_top1,Paired retrieval top-1,0.0706175574633,0.00775408474107,-0.0628634727222,True,False
shift_only,1.5,extrapolation,all_spots_primary,paired_retrieval_median_rank,Paired retrieval median rank,87,281,194,True,False
shift_only,1.5,extrapolation,all_spots_primary,domain_asw,Domain ASW,0.0270064858096,0.0409158012449,0.0139093154353,True,False
shift_only,1.5,extrapolation,all_spots_primary,domain_purity_k30,Domain purity (k=30),0.666652820087,0.69212129604,0.0254684759531,True,False
