method,mode,alpha,alpha_stratum,metric,metric_label,value,analysis_role,support_variant,representation,supplementary_diagnostic_only,active_manuscript_claim,winner_ranking_authorized,composite_score_used
GraphST,shift_only,1,interpolation,paired_retrieval_median_rank,Paired retrieval median rank,18,primary,all_spots_primary,pca20_randomized_seed42,True,False,False,False
GraphST,shift_only,1,interpolation,domain_asw,Domain ASW,0.0262818032794,primary,all_spots_primary,pca20_randomized_seed42,True,False,False,False
GraphST,shift_only,1,interpolation,domain_purity_k30,Domain purity (k=30),0.663066555894,primary,all_spots_primary,pca20_randomized_seed42,True,False,False,False
GraphST,shift_only,1,interpolation,centroid_distance,Centroid distance,1.49269063125,primary,all_spots_primary,pca20_randomized_seed42,True,False,False,False
GraphST,shift_only,1,interpolation,covariance_distance,Covariance distance,0.14828384622,primary,all_spots_primary,pca20_randomized_seed42,True,False,False,False
GraphST,shift_only,1,interpolation,mmd2_rbf_biased,Biased RBF MMD²,0.0396479589651,primary,all_spots_primary,pca20_randomized_seed42,True,False,False,False
GraphST,shift_only,1,interpolation,paired_expression_correlation,Paired expression correlation,NA,primary,all_spots_primary,pca20_randomized_seed42,True,False,False,False
GraphST,shift_only,1.25,extrapolation,batch_asw,Batch ASW,0.0415397377761,primary,all_spots_primary,pca20_randomized_seed42,True,False,False,False
GraphST,shift_only,1.25,extrapolation,batch_mixing_entropy_k30,Batch mixing entropy (k=30),0.437659043859,primary,all_spots_primary,pca20_randomized_seed42,True,False,False,False
GraphST,shift_only,1.25,extrapolation,paired_retrieval_top1,Paired retrieval top-1,0.140404320133,primary,all_spots_primary,pca20_randomized_seed42,True,False,False,False
GraphST,shift_only,1.25,extrapolation,paired_retrieval_median_rank,Paired retrieval median rank,43,primary,all_spots_primary,pca20_randomized_seed42,True,False,False,False
GraphST,shift_only,1.25,extrapolation,domain_asw,Domain ASW,0.0282969968569,primary,all_spots_primary,pca20_randomized_seed42,True,False,False,False
GraphST,shift_only,1.25,extrapolation,domain_purity_k30,Domain purity (k=30),0.659692605926,primary,all_spots_primary,pca20_randomized_seed42,True,False,False,False
GraphST,shift_only,1.25,extrapolation,centroid_distance,Centroid distance,1.64197711829,primary,all_spots_primary,pca20_randomized_seed42,True,False,False,False
GraphST,shift_only,1.25,extrapolation,covariance_distance,Covariance distance,0.16764319783,primary,all_spots_primary,pca20_randomized_seed42,True,False,False,False
GraphST,shift_only,1.25,extrapolation,mmd2_rbf_biased,Biased RBF MMD²,0.0494321976476,primary,all_spots_primary,pca20_randomized_seed42,True,False,False,False
GraphST,shift_only,1.25,extrapolation,paired_expression_correlation,Paired expression correlation,NA,primary,all_spots_primary,pca20_randomized_seed42,True,False,False,False
GraphST,shift_only,1.5,extrapolation,batch_asw,Batch ASW,0.049222716944,primary,all_spots_primary,pca20_randomized_seed42,True,False,False,False
GraphST,shift_only,1.5,extrapolation,batch_mixing_entropy_k30,Batch mixing entropy (k=30),0.358165458007,primary,all_spots_primary,pca20_randomized_seed42,True,False,False,False
GraphST,shift_only,1.5,extrapolation,paired_retrieval_top1,Paired retrieval top-1,0.0706175574633,primary,all_spots_primary,pca20_randomized_seed42,True,False,False,False
GraphST,shift_only,1.5,extrapolation,paired_retrieval_median_rank,Paired retrieval median rank,87,primary,all_spots_primary,pca20_randomized_seed42,True,False,False,False
GraphST,shift_only,1.5,extrapolation,domain_asw,Domain ASW,0.0270064858096,primary,all_spots_primary,pca20_randomized_seed42,True,False,False,False
GraphST,shift_only,1.5,extrapolation,domain_purity_k30,Domain purity (k=30),0.666652820087,primary,all_spots_primary,pca20_randomized_seed42,True,False,False,False
GraphST,shift_only,1.5,extrapolation,centroid_distance,Centroid distance,1.73462954824,primary,all_spots_primary,pca20_randomized_seed42,True,False,False,False
GraphST,shift_only,1.5,extrapolation,covariance_distance,Covariance distance,0.188724742403,primary,all_spots_primary,pca20_randomized_seed42,True,False,False,False
GraphST,shift_only,1.5,extrapolation,mmd2_rbf_biased,Biased RBF MMD²,0.0583763615712,primary,all_spots_primary,pca20_randomized_seed42,True,False,False,False
GraphST,shift_only,1.5,extrapolation,paired_expression_correlation,Paired expression correlation,NA,primary,all_spots_primary,pca20_randomized_seed42,True,False,False,False
